transaction_id,cust_id,tran_date,prod_subcat_code,prod_cat_code,qty,rate,tax,total_amt,store_type,transaction_type
80712190438,270351,2014-02-28,1,1,-5,772,405.3,-4265.3,e-Shop,Return
29258453508,270384,2014-02-27,5,3,-5,1497,785.925,-8270.925,e-Shop,Return
51750724947,273420,2014-02-24,6,5,-2,791,166.11,-1748.11,TeleShop,Return
93274880719,271509,2014-02-24,11,6,-3,1363,429.345,-4518.345,e-Shop,Return
51750724947,273420,2014-02-23,6,5,-2,791,166.11,-1748.11,TeleShop,Return
97439039119,272357,2014-02-23,8,3,-2,824,173.04,-1821.04,TeleShop,Return
45649838090,273667,2014-02-22,11,6,-1,1450,152.25,-1602.25,e-Shop,Return
22643667930,271489,2014-02-22,12,6,-1,1225,128.625,-1353.625,TeleShop,Return
79792372943,275108,2014-02-22,3,1,-3,908,286.02,-3010.02,MBR,Return
50076728598,269014,2014-02-21,8,3,-4,581,244.02,-2568.02,e-Shop,Return
29258453508,270384,2014-02-20,5,3,5,1497,785.925,8270.925,e-Shop,Sale
25455265351,267750,2014-02-20,12,6,3,1360,428.4,4508.4,e-Shop,Sale
1571002198,275023,2014-02-20,6,5,4,587,246.54,2594.54,e-Shop,Sale
43134751727,268487,2014-02-20,3,2,-1,611,64.155,-675.155,e-Shop,Return
36554696014,269345,2014-02-20,3,5,3,1253,394.695,4153.695,e-Shop,Sale
56814940239,268799,2014-02-20,7,5,5,368,193.2,2033.2,e-Shop,Sale
54295803788,270787,2014-02-20,12,5,5,584,306.6,3226.6,e-Shop,Sale
25963520987,274829,2014-02-20,4,4,3,502,158.13,1664.13,Flagship store,Sale
17183929085,266863,2014-02-20,1,2,1,1359,142.695,1501.695,TeleShop,Sale
44783317894,269452,2014-02-20,3,1,3,825,259.875,2734.875,TeleShop,Sale
58957828601,269009,2014-02-20,11,5,4,846,355.32,3739.32,TeleShop,Sale
9647515879,268934,2014-02-20,7,5,3,1384,435.96,4587.96,TeleShop,Sale
20781077773,269223,2014-02-20,5,3,3,1203,378.945,3987.945,TeleShop,Sale
91116291703,268509,2014-02-20,1,2,4,1243,522.06,5494.06,MBR,Sale
68325723297,268516,2014-02-20,9,3,1,877,92.085,969.085,e-Shop,Sale
73235813024,268774,2014-02-20,3,5,1,76,7.98,83.98,TeleShop,Sale
80712190438,270351,2014-02-20,1,1,5,772,405.3,4265.3,e-Shop,Sale
66989395597,272785,2014-02-20,10,3,2,474,99.54,1047.54,TeleShop,Sale
88853694830,268444,2014-02-20,4,4,-3,80,25.2,-265.2,MBR,Return
99581788104,267466,2014-02-20,3,2,1,96,10.08,106.08,Flagship store,Sale
28396777609,269101,2014-02-19,4,1,4,1386,582.12,6126.12,TeleShop,Sale
22391667321,270842,2014-02-19,1,2,5,723,379.575,3994.575,MBR,Sale
51075317246,274987,2014-02-19,10,6,5,374,196.35,2066.35,MBR,Sale
16199275450,275139,2014-02-19,4,2,1,173,18.165,191.165,MBR,Sale
22698449434,269136,2014-02-19,7,5,5,189,99.225,1044.225,TeleShop,Sale
13167171971,275149,2014-02-19,4,3,4,804,337.68,3553.68,MBR,Sale
32130400636,269772,2014-02-19,12,6,3,229,72.135,759.135,e-Shop,Sale
31384765864,267058,2014-02-19,3,2,1,793,83.265,876.265,e-Shop,Sale
85894118953,271817,2014-02-19,3,2,3,1401,441.315,4644.315,e-Shop,Sale
63407734630,271322,2014-02-19,3,2,5,1360,714,7514,Flagship store,Sale
90740728864,268229,2014-02-19,4,2,5,984,516.6,5436.6,TeleShop,Sale
82750983847,267544,2014-02-19,3,5,1,805,84.525,889.525,Flagship store,Sale
67328698675,268755,2014-02-19,3,2,1,1018,106.89,1124.89,Flagship store,Sale
80381707658,269407,2014-02-19,6,5,5,573,300.825,3165.825,e-Shop,Sale
78709566028,273023,2014-02-19,10,6,2,1052,220.92,2324.92,e-Shop,Sale
67079812295,271818,2014-02-19,10,3,2,1408,295.68,3111.68,MBR,Sale
72427583709,268129,2014-02-19,4,4,1,885,92.925,977.925,Flagship store,Sale
14259136777,274477,2014-02-18,10,3,1,1489,156.345,1645.345,TeleShop,Sale
7313351894,267568,2014-02-18,2,6,4,481,202.02,2126.02,Flagship store,Sale
37745642681,267098,2014-02-18,1,2,1,109,11.445,120.445,Flagship store,Sale
13861409908,271608,2014-02-18,1,2,2,1352,283.92,2987.92,MBR,Sale
58956348529,272484,2014-02-18,4,1,4,1443,606.06,6378.06,TeleShop,Sale
58886320392,268715,2014-02-18,10,6,2,768,161.28,1697.28,Flagship store,Sale
53081075361,273250,2014-02-18,11,6,5,1345,706.125,7431.125,Flagship store,Sale
10017543415,267097,2014-02-18,3,5,1,164,17.22,181.22,Flagship store,Sale
34065279733,274562,2014-02-18,6,5,2,280,58.8,618.8,e-Shop,Sale
58223423237,268138,2014-02-18,6,5,-3,1398,440.37,-4634.37,e-Shop,Return
74085729167,268492,2014-02-18,3,5,3,433,136.395,1435.395,e-Shop,Sale
83498320600,273359,2014-02-18,4,1,4,861,361.62,3805.62,e-Shop,Sale
83313344780,271288,2014-02-18,4,3,2,84,17.64,185.64,Flagship store,Sale
96923177403,270778,2014-02-18,11,6,5,1111,583.275,6138.275,MBR,Sale
78091789730,271030,2014-02-18,4,1,1,380,39.9,419.9,e-Shop,Sale
84466140532,274426,2014-02-18,6,5,5,423,222.075,2337.075,e-Shop,Sale
59232461135,269019,2014-02-17,4,2,2,479,100.59,1058.59,Flagship store,Sale
58223423237,268138,2014-02-17,6,5,3,1398,440.37,4634.37,e-Shop,Sale
60560888204,271250,2014-02-17,10,6,2,707,148.47,1562.47,Flagship store,Sale
22643667930,271489,2014-02-17,12,6,1,1225,128.625,1353.625,TeleShop,Sale
12161898302,274402,2014-02-17,1,2,-1,891,93.555,-984.555,TeleShop,Return
43561027610,270244,2014-02-17,8,3,1,728,76.44,804.44,e-Shop,Sale
40604748560,269387,2014-02-17,6,5,5,760,399,4199,Flagship store,Sale
8868056339,268145,2014-02-17,2,6,-2,152,31.92,-335.92,e-Shop,Return
78600072636,273067,2014-02-17,9,3,3,446,140.49,1478.49,TeleShop,Sale
79792372943,275108,2014-02-17,3,1,3,908,286.02,3010.02,MBR,Sale
94418788162,267559,2014-02-17,10,6,1,620,65.1,685.1,TeleShop,Sale
86635642295,271763,2014-02-17,12,6,5,562,295.05,3105.05,Flagship store,Sale
75980673312,270678,2014-02-17,7,5,4,1377,578.34,6086.34,TeleShop,Sale
88830495604,269018,2014-02-17,10,6,4,307,128.94,1356.94,MBR,Sale
19729968655,269162,2014-02-16,10,5,2,721,151.41,1593.41,e-Shop,Sale
8709975598,269867,2014-02-16,11,5,3,1243,391.545,4120.545,e-Shop,Sale
56483064719,270108,2014-02-16,4,3,2,1037,217.77,2291.77,e-Shop,Sale
55452156634,273734,2014-02-16,3,5,5,778,408.45,4298.45,e-Shop,Sale
22461440770,270294,2014-02-16,4,3,5,1060,556.5,5856.5,e-Shop,Sale
4067131912,274014,2014-02-16,3,5,4,332,139.44,1467.44,e-Shop,Sale
59201497276,273506,2014-02-16,12,6,3,537,169.155,1780.155,MBR,Sale
51750724947,273420,2014-02-16,6,5,2,791,166.11,1748.11,TeleShop,Sale
45848212352,268592,2014-02-16,1,2,3,1029,324.135,3411.135,TeleShop,Sale
79449440045,271561,2014-02-16,8,3,4,498,209.16,2201.16,e-Shop,Sale
83108241933,273896,2014-02-16,4,1,2,574,120.54,1268.54,e-Shop,Sale
84867095544,267360,2014-02-16,8,3,3,674,212.31,2234.31,e-Shop,Sale
92825360774,267072,2014-02-16,1,2,5,803,421.575,4436.575,e-Shop,Sale
76990911956,270148,2014-02-16,4,3,4,448,188.16,1980.16,Flagship store,Sale
93274880719,271509,2014-02-16,11,6,3,1363,429.345,4518.345,e-Shop,Sale
86612653865,274813,2014-02-16,2,6,3,1271,400.365,4213.365,e-Shop,Sale
10262222991,272069,2014-02-15,7,5,3,1462,460.53,4846.53,e-Shop,Sale
34544863855,269388,2014-02-15,11,6,2,922,193.62,2037.62,Flagship store,Sale
22781866776,271875,2014-02-15,2,6,4,428,179.76,1891.76,TeleShop,Sale
4449802598,271355,2014-02-15,12,6,4,999,419.58,4415.58,TeleShop,Sale
3530523263,272777,2014-02-15,10,6,2,582,122.22,1286.22,MBR,Sale
8433718881,271912,2014-02-15,11,6,2,1438,301.98,3177.98,MBR,Sale
21494029219,268052,2014-02-15,4,2,4,228,95.76,1007.76,e-Shop,Sale
56419730266,268772,2014-02-15,11,5,1,1213,127.365,1340.365,e-Shop,Sale
50076728598,269014,2014-02-15,8,3,4,581,244.02,2568.02,e-Shop,Sale
35243275448,273075,2014-02-15,2,6,4,1168,490.56,5162.56,TeleShop,Sale
10942311291,271297,2014-02-15,3,1,2,756,158.76,1670.76,Flagship store,Sale
63352996926,272145,2014-02-15,5,3,4,1342,563.64,5931.64,Flagship store,Sale
73713102191,268867,2014-02-15,1,1,1,714,74.97,788.97,MBR,Sale
70043127245,271595,2014-02-15,8,3,1,1461,153.405,1614.405,TeleShop,Sale
85713951101,274609,2014-02-15,12,5,5,968,508.2,5348.2,TeleShop,Sale
82975337804,272529,2014-02-15,4,4,4,869,364.98,3840.98,Flagship store,Sale
84116465142,271368,2014-02-15,10,5,5,788,413.7,4353.7,MBR,Sale
62672834763,268855,2014-02-14,4,3,3,1363,429.345,4518.345,e-Shop,Sale
57134739558,270625,2014-02-14,1,1,5,595,312.375,3287.375,TeleShop,Sale
57112244235,268076,2014-02-14,10,3,4,167,70.14,738.14,Flagship store,Sale
6993051511,271658,2014-02-14,11,6,2,476,99.96,1051.96,e-Shop,Sale
28621201753,271310,2014-02-14,10,6,-4,219,91.98,-967.98,e-Shop,Return
2934877504,271859,2014-02-14,3,2,4,1274,535.08,5631.08,Flagship store,Sale
56835507985,271744,2014-02-14,6,5,4,378,158.76,1670.76,MBR,Sale
31183475305,273474,2014-02-14,9,3,2,706,148.26,1560.26,e-Shop,Sale
50177628799,273763,2014-02-14,4,2,3,803,252.945,2661.945,MBR,Sale
30489975482,274689,2014-02-14,10,3,4,1002,420.84,4428.84,MBR,Sale
85198716539,269275,2014-02-14,10,3,1,96,10.08,106.08,TeleShop,Sale
85284647047,271924,2014-02-14,2,6,2,367,77.07,811.07,Flagship store,Sale
92809340294,271061,2014-02-14,4,3,3,1004,316.26,3328.26,e-Shop,Sale
81262483026,268956,2014-02-14,9,3,4,700,294,3094,TeleShop,Sale
99503089534,274266,2014-02-14,8,3,1,1370,143.85,1513.85,Flagship store,Sale
88321457472,269907,2014-02-14,10,3,5,621,326.025,3431.025,e-Shop,Sale
75927432534,267500,2014-02-14,1,4,2,845,177.45,1867.45,e-Shop,Sale
70614782851,269140,2014-02-14,2,6,4,342,143.64,1511.64,TeleShop,Sale
64655688681,268136,2014-02-14,1,4,5,153,80.325,845.325,TeleShop,Sale
16952157158,271493,2014-02-13,4,4,2,1200,252,2652,e-Shop,Sale
7719443790,271312,2014-02-13,10,3,4,1135,476.7,5016.7,e-Shop,Sale
58500805392,267375,2014-02-13,4,4,3,85,26.775,281.775,TeleShop,Sale
